normal_jaccard,sw_jaccard,lemmas_jaccard,wsd_jaccard,normal_containment,sw_containment,lemmas_containment,wsd_containment,normal_jaccard_2gram,normal_containment_2gram,normal_jaccard_3gram,normal_containment_3gram,sw_jaccard_2gram,sw_containment_2gram,sw_jaccard_3gram,sw_containment_3gram,lemmas_jaccard_2gram,lemmas_containment_2gram,lemmas_jaccard_3gram,lemmas_containment_3gram,wsd_jaccard_2gram,wsd_containment_2gram,wsd_jaccard_3gram,wsd_containment_3gram,lemmas_weighted_overlap,wsd_weighted_overlap,lemmas_glao,wsd_glao,gs
0.5333333333333333,0.4736842105263158,0.4736842105263158,0.4,0.7619047619047619,0.75,0.75,0.6666666666666666,0.4,0.6363636363636364,0.34285714285714286,0.5714285714285714,0.4444444444444444,0.7272727272727273,0.4117647058823529,0.7,0.4444444444444444,0.7272727272727273,0.4117647058823529,0.7,0.30000000000000004,0.5454545454545454,0.19999999999999996,0.4,0.6546854231544375,1.3627782489684923e-298,0.0,0.0,0.8
0.38888888888888884,0.5,0.5,0.3846153846153846,0.7,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.1428571428571429,0.3333333333333333,0.04761904761904767,0.125,0.33333333333333337,0.6666666666666666,0.2727272727272727,0.6,0.33333333333333337,0.6666666666666666,0.2727272727272727,0.6,0.1428571428571429,0.3333333333333333,0.0,0.0,0.7095287312857897,0.576693385947571,0.0,0.0,0.75
0.33333333333333337,0.3571428571428571,0.3571428571428571,0.2666666666666667,0.5,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.1923076923076923,0.3333333333333333,0.07407407407407407,0.14285714285714285,0.0625,0.125,0.0,0.0,0.0625,0.125,0.0,0.0,0.0625,0.125,0.0,0.0,0.547998095980794,0.4527481182537172,0.0,0.0,0.5599999999999999
0.6071428571428572,0.6111111111111112,0.6111111111111112,0.31818181818181823,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.5833333333333334,0.5925925925925926,0.9411764705882353,0.5769230769230769,0.9375,0.5882352941176471,0.9090909090909091,0.5625,0.9,0.5882352941176471,0.9090909090909091,0.5625,0.9,0.17391304347826086,0.36363636363636365,0.13636363636363635,0.3,1.0,1.0,0.0,0.0,0.6799999999999999
0.1923076923076923,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.35714285714285715,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0357142857142857,0.07692307692307693,0.0,0.0,0.050000000000000044,0.1,0.0,0.0,0.050000000000000044,0.1,0.0,0.0,0.050000000000000044,0.1,0.0,0.0,1.0,1.0,0.0,0.0,0.48
0.1785714285714286,0.1578947368421053,0.1578947368421053,0.1578947368421053,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.033333333333333326,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.354634812283619e-299,5.366390644231156e-299,0.0,0.0,0.2666
0.3939393939393939,0.36363636363636365,0.36363636363636365,0.25,0.65,0.6153846153846154,0.6153846153846154,0.46153846153846156,0.09302325581395354,0.18181818181818182,0.022222222222222254,0.045454545454545456,0.07692307692307687,0.16666666666666666,0.0,0.0,0.07692307692307687,0.16666666666666666,0.0,0.0,0.03703703703703709,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9199999999999999
0.52,0.5,0.5,0.4117647058823529,0.7222222222222222,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.27586206896551724,0.47058823529411764,0.2068965517241379,0.375,0.2941176470588235,0.5,0.17647058823529416,0.3333333333333333,0.2941176470588235,0.5,0.17647058823529416,0.3333333333333333,0.2941176470588235,0.5,0.17647058823529416,0.3333333333333333,1.2686013122883798e-298,1.180148447501619e-298,0.0,0.0,0.76
0.55,0.5,0.5,0.3125,0.7333333333333333,0.7,0.7,0.5,0.30434782608695654,0.4666666666666667,0.16666666666666663,0.2857142857142857,0.1875,0.3333333333333333,0.0625,0.125,0.1875,0.3333333333333333,0.0625,0.125,0.11764705882352944,0.2222222222222222,0.0,0.0,1.0,1.0,0.0,0.0,0.8400000000000001
0.4,0.33333333333333337,0.33333333333333337,0.11111111111111116,0.5882352941176471,0.5,0.5,0.2,0.1333333333333333,0.23529411764705882,0.06666666666666665,0.125,0.05555555555555558,0.1111111111111111,0.0,0.0,0.05555555555555558,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,8.905249672652033e-299,4.328727837163011e-299,0.0,0.0,0.52
